,County,State,2020 Base Population,2020 Pop Estimate,2021 Pop Estimate,2022 Pop Estimate,2023 Pop Estimate,State Code,County Code
361,Madison County,Florida,"17,972","17,869","18,099","18,230","18,519",12,79
362,Manatee County,Florida,"399,714","401,619","413,716","429,169","441,095",12,81
363,Marion County,Florida,"375,904","377,472","385,135","396,437","409,959",12,83
364,Martin County,Florida,"158,434","158,671","160,197","161,987","163,315",12,85
365,Miami-Dade County,Florida,"2,701,776","2,695,685","2,669,748","2,673,056","2,686,867",12,86
366,Monroe County,Florida,"82,872","82,847","82,220","81,618","80,614",12,87
367,Nassau County,Florida,"90,353","91,031","94,399","97,826","101,501",12,89
368,Okaloosa County,Florida,"211,666","212,085","213,641","216,464","218,464",12,91
369,Okeechobee County,Florida,"39,642","39,652","40,031","40,373","41,427",12,93
370,Orange County,Florida,"1,429,908","1,431,679","1,427,761","1,451,761","1,471,416",12,95
371,Osceola County,Florida,"388,664","391,141","403,990","422,543","437,784",12,97
372,Palm Beach County,Florida,"1,492,199","1,494,282","1,503,435","1,519,867","1,533,801",12,99
373,Pasco County,Florida,"561,893","566,156","585,191","609,141","632,996",12,101
374,Pinellas County,Florida,"959,111","959,793","959,583","961,792","961,596",12,103
375,Polk County,Florida,"725,048","730,158","755,598","788,382","818,330",12,105
376,Putnam County,Florida,"73,319","73,372","74,095","74,736","75,955",12,107
377,St. Johns County,Florida,"273,422","277,099","293,251","307,072","320,110",12,109
378,St. Lucie County,Florida,"329,226","331,441","344,246","358,886","373,586",12,111
379,Santa Rosa County,Florida,"187,999","189,011","193,750","198,199","203,162",12,113
380,Sarasota County,Florida,"434,010","436,237","448,636","462,552","469,013",12,115
381,Seminole County,Florida,"470,857","471,455","470,857","478,623","484,271",12,117
382,Sumter County,Florida,"129,745","130,290","134,870","144,767","151,565",12,119
383,Suwannee County,Florida,"43,472","43,524","44,125","45,405","46,130",12,121
384,Taylor County,Florida,"21,799","21,743","20,807","21,313","21,582",12,123
385,Union County,Florida,"16,143","15,425","15,850","15,514","15,532",12,125
386,Volusia County,Florida,"553,537","555,776","566,368","579,665","590,357",12,127
387,Wakulla County,Florida,"33,763","33,893","34,270","35,169","36,449",12,129
388,Walton County,Florida,"75,307","75,941","80,021","83,404","86,354",12,131
389,Washington County,Florida,"25,323","25,320","24,867","25,405","25,602",12,133
390,Appling County,Georgia,"18,445","18,376","18,423","18,437","18,457",13,1
391,Atkinson County,Georgia,"8,286","8,308","8,348","8,160","8,293",13,3
392,Bacon County,Georgia,"11,142","11,112","11,068","11,173","11,124",13,5
393,Baker County,Georgia,"2,875","2,852","2,824","2,792","2,743",13,7
394,Baldwin County,Georgia,"43,789","43,790","43,695","43,633","43,396",13,9
395,Banks County,Georgia,"18,035","18,081","18,538","19,342","19,789",13,11
396,Barrow County,Georgia,"83,504","83,981","86,727","89,245","92,792",13,13
397,Bartow County,Georgia,"108,897","109,314","110,936","112,815","115,041",13,15
398,Ben Hill County,Georgia,"17,194","17,168","17,128","17,057","17,128",13,17
399,Berrien County,Georgia,"18,159","18,144","18,117","18,215","18,570",13,19
400,Bibb County,Georgia,"157,347","157,035","155,980","156,126","156,512",13,21
401,Bleckley County,Georgia,"12,585","12,523","12,270","12,279","12,465",13,23
402,Brantley County,Georgia,"18,021","18,044","18,119","18,210","18,401",13,25
403,Brooks County,Georgia,"16,301","16,272","16,276","16,284","16,245",13,27
404,Bryan County,Georgia,"44,741","45,043","46,974","48,218","49,739",13,29
405,Bulloch County,Georgia,"79,646","79,922","80,671","83,038","84,327",13,31
406,Burke County,Georgia,"24,594","24,635","24,362","24,434","24,438",13,33
407,Butts County,Georgia,"25,436","25,549","26,164","26,745","26,887",13,35
408,Calhoun County,Georgia,"5,575","5,574","5,541","5,474","5,457",13,37
409,Camden County,Georgia,"54,772","54,931","55,786","56,971","58,118",13,39
410,Candler County,Georgia,"10,988","11,022","10,947","10,962","11,059",13,43
411,Carroll County,Georgia,"119,151","119,498","121,595","124,530","127,098",13,45
412,Catoosa County,Georgia,"67,874","68,006","68,436","68,836","68,910",13,47
413,Charlton County,Georgia,"12,516","12,534","12,820","12,788","12,934",13,49
414,Chatham County,Georgia,"295,291","295,089","295,690","301,025","303,655",13,51
415,Chattahoochee County,Georgia,"9,566","9,475","9,044","8,746","8,661",13,53
416,Chattooga County,Georgia,"24,970","24,925","24,844","24,962","25,222",13,55
417,Cherokee County,Georgia,"266,594","268,156","274,732","281,194","286,602",13,57
418,Clarke County,Georgia,"128,670","128,551","129,206","129,726","129,933",13,59
419,Clay County,Georgia,"2,845","2,828","2,867","2,853","2,853",13,61
420,Clayton County,Georgia,"299,403","299,439","299,210","298,399","298,300",13,63
421,Clinch County,Georgia,"6,741","6,720","6,702","6,679","6,746",13,65
422,Cobb County,Georgia,"766,112","766,378","766,662","771,840","776,743",13,67
423,Coffee County,Georgia,"43,092","43,060","43,046","43,247","43,317",13,69
424,Colquitt County,Georgia,"45,892","45,891","45,763","45,830","46,167",13,71
425,Columbia County,Georgia,"156,013","156,865","159,662","162,471","165,162",13,73
426,Cook County,Georgia,"17,232","17,236","17,262","17,409","17,714",13,75
427,Coweta County,Georgia,"146,163","146,747","149,973","152,879","155,892",13,77
428,Crawford County,Georgia,"12,128","12,103","12,139","12,169","12,277",13,79
429,Crisp County,Georgia,"20,128","20,053","20,000","19,729","19,631",13,81
430,Dade County,Georgia,"16,249","16,239","16,221","16,090","16,165",13,83
431,Dawson County,Georgia,"26,796","27,059","28,498","30,189","31,732",13,85
432,Decatur County,Georgia,"29,368","29,326","29,091","29,019","29,087",13,87
433,DeKalb County,Georgia,"764,425","764,489","759,113","761,779","762,992",13,89
434,Dodge County,Georgia,"20,001","19,949","19,734","19,873","19,776",13,91
435,Dooly County,Georgia,"11,209","11,156","10,869","10,585","10,981",13,93
436,Dougherty County,Georgia,"85,793","85,155","82,235","82,895","82,645",13,95
437,Douglas County,Georgia,"144,310","144,648","145,748","147,453","149,160",13,97
438,Early County,Georgia,"10,849","10,794","10,635","10,560","10,563",13,99
439,Echols County,Georgia,"3,704","3,721","3,698","3,686","3,709",13,101
440,Effingham County,Georgia,"64,771","65,169","66,764","69,034","71,541",13,103
441,Elbert County,Georgia,"19,638","19,668","19,571","19,873","20,013",13,105
442,Emanuel County,Georgia,"22,770","22,893","22,899","22,946","23,119",13,107
443,Evans County,Georgia,"10,773","10,792","10,697","10,659","10,754",13,109
444,Fannin County,Georgia,"25,321","25,436","25,797","25,733","25,955",13,111
445,Fayette County,Georgia,"119,181","119,491","120,715","121,981","123,351",13,113
446,Floyd County,Georgia,"98,582","98,583","98,487","99,437","100,113",13,115
447,Forsyth County,Georgia,"251,287","252,901","260,783","267,312","272,887",13,117
448,Franklin County,Georgia,"23,424","23,471","23,510","24,146","24,782",13,119
449,Fulton County,Georgia,"1,066,675","1,069,394","1,062,451","1,073,698","1,079,105",13,121
450,Gilmer County,Georgia,"31,349","31,427","32,106","32,403","32,860",13,123
451,Glascock County,Georgia,"2,887","2,899","2,901","2,928","2,954",13,125
452,Glynn County,Georgia,"84,500","84,482","84,786","85,145","86,172",13,127
453,Gordon County,Georgia,"57,544","57,722","58,239","58,855","59,757",13,129
454,Grady County,Georgia,"26,236","26,224","25,850","25,994","26,066",13,131
455,Greene County,Georgia,"18,913","19,028","19,544","20,111","20,722",13,133
456,Gwinnett County,Georgia,"957,306","958,359","965,338","976,173","983,526",13,135
457,Habersham County,Georgia,"46,034","46,142","46,748","47,465","48,757",13,137
458,Hall County,Georgia,"202,889","203,473","207,080","212,621","217,267",13,139
459,Hancock County,Georgia,"8,736","8,711","8,677","8,417","8,676",13,141
460,Haralson County,Georgia,"29,917","30,036","30,595","31,355","32,038",13,143
461,Harris County,Georgia,"34,666","34,898","35,589","36,257","36,654",13,145
462,Hart County,Georgia,"25,829","25,878","26,319","26,886","27,556",13,147
463,Heard County,Georgia,"11,409","11,444","11,532","11,716","12,034",13,149
464,Henry County,Georgia,"240,703","241,852","245,085","248,472","254,613",13,151
465,Houston County,Georgia,"163,642","164,356","167,228","169,775","171,974",13,153
466,Irwin County,Georgia,"9,663","9,647","9,369","9,114","9,120",13,155
467,Jackson County,Georgia,"75,912","76,731","80,374","84,009","88,615",13,157
468,Jasper County,Georgia,"14,590","14,662","15,263","15,979","16,455",13,159
469,Jeff Davis County,Georgia,"14,777","14,800","14,860","14,891","14,906",13,161
470,Jefferson County,Georgia,"15,710","15,676","15,476","15,294","15,183",13,163
471,Jenkins County,Georgia,"8,676","8,663","8,764","8,655","8,627",13,165
472,Johnson County,Georgia,"9,188","9,183","8,999","9,211","9,282",13,167
473,Jones County,Georgia,"28,353","28,402","28,406","28,512","28,969",13,169
474,Lamar County,Georgia,"18,498","18,549","18,697","19,473","20,401",13,171
475,Lanier County,Georgia,"9,883","9,929","10,051","10,177","10,452",13,173
476,Laurens County,Georgia,"49,570","49,535","49,524","49,710","49,941",13,175
477,Lee County,Georgia,"33,164","33,222","33,209","33,678","33,872",13,177
478,Liberty County,Georgia,"65,271","65,317","66,800","67,919","69,210",13,179
479,Lincoln County,Georgia,"7,689","7,702","7,749","7,859","7,879",13,181
480,Long County,Georgia,"16,158","16,270","17,108","18,395","19,594",13,183
481,Lowndes County,Georgia,"118,247","118,416","118,916","119,499","120,712",13,185
482,Lumpkin County,Georgia,"33,488","33,641","32,843","34,706","35,258",13,187
483,McDuffie County,Georgia,"21,628","21,607","21,619","21,690","21,799",13,189
484,McIntosh County,Georgia,"10,973","10,985","11,054","11,183","11,501",13,191
485,Macon County,Georgia,"12,080","12,021","11,852","11,777","11,817",13,193
486,Madison County,Georgia,"30,128","30,276","30,887","31,450","32,191",13,195
487,Marion County,Georgia,"7,505","7,530","7,434","7,436","7,440",13,197
488,Meriwether County,Georgia,"20,620","20,617","20,725","20,890","20,931",13,199
489,Miller County,Georgia,"6,000","5,992","5,853","5,774","5,747",13,201
490,Mitchell County,Georgia,"21,763","21,671","21,318","21,192","21,114",13,205
491,Monroe County,Georgia,"27,956","28,057","28,753","29,469","30,625",13,207
492,Montgomery County,Georgia,"8,610","8,576","8,646","8,643","8,761",13,209
493,Morgan County,Georgia,"20,097","20,201","20,650","21,024","21,460",13,211
494,Murray County,Georgia,"39,976","40,012","39,975","40,410","41,035",13,213
495,Muscogee County,Georgia,"206,919","207,006","205,060","202,432","201,877",13,215
496,Newton County,Georgia,"112,527","112,890","115,341","117,752","120,135",13,217
497,Oconee County,Georgia,"41,798","42,016","43,034","43,624","44,182",13,219
498,Oglethorpe County,Georgia,"14,826","14,869","15,187","15,531","15,754",13,221
499,Paulding County,Georgia,"168,666","169,580","173,989","178,753","183,164",13,223
500,Peach County,Georgia,"27,986","28,036","28,245","28,486","28,805",13,225
501,Pickens County,Georgia,"33,212","33,337","34,021","34,825","35,969",13,227
502,Pierce County,Georgia,"19,715","19,747","19,975","20,190","20,425",13,229
503,Pike County,Georgia,"18,889","18,946","19,540","19,955","20,461",13,231
504,Polk County,Georgia,"42,851","42,924","43,316","43,669","44,223",13,233
505,Pulaski County,Georgia,"9,854","9,870","9,570","9,963","10,095",13,235
506,Putnam County,Georgia,"22,049","22,170","22,614","22,933","23,129",13,237
507,Quitman County,Georgia,"2,237","2,227","2,242","2,259","2,280",13,239
508,Rabun County,Georgia,"16,878","16,912","17,120","17,267","17,442",13,241
509,Randolph County,Georgia,"6,421","6,368","6,263","6,126","6,078",13,243
510,Richmond County,Georgia,"206,603","206,524","205,274","206,344","205,414",13,245
511,Rockdale County,Georgia,"93,513","93,611","93,888","94,945","95,987",13,247
512,Schley County,Georgia,"4,548","4,536","4,486","4,497","4,526",13,249
513,Screven County,Georgia,"14,065","14,077","14,062","13,970","14,174",13,251
514,Seminole County,Georgia,"9,152","9,133","9,162","9,144","9,092",13,253
515,Spalding County,Georgia,"67,312","67,471","67,765","69,008","69,946",13,255
516,Stephens County,Georgia,"26,779","26,818","26,765","26,746","27,228",13,257
517,Stewart County,Georgia,"5,314","5,303","4,915","4,604","4,674",13,259
518,Sumter County,Georgia,"29,615","29,520","28,981","28,864","28,890",13,261
519,Talbot County,Georgia,"5,735","5,726","5,755","5,757","5,718",13,263
520,Taliaferro County,Georgia,"1,559","1,559","1,569","1,608","1,609",13,265
521,Tattnall County,Georgia,"24,284","24,321","24,092","23,988","24,296",13,267
522,Taylor County,Georgia,"7,814","7,818","7,769","7,762","7,758",13,269
523,Telfair County,Georgia,"12,476","12,465","12,317","12,378","10,920",13,271
524,Terrell County,Georgia,"9,184","9,140","8,924","8,792","8,718",13,273
525,Thomas County,Georgia,"45,791","45,775","45,818","45,551","45,649",13,275
526,Tift County,Georgia,"41,357","41,387","41,082","41,335","41,554",13,277
527,Toombs County,Georgia,"27,026","27,078","26,847","26,813","27,040",13,279
528,Towns County,Georgia,"12,488","12,547","12,880","12,961","13,035",13,281
529,Treutlen County,Georgia,"6,401","6,397","6,365","6,359","6,341",13,283
530,Troup County,Georgia,"69,426","69,333","69,518","70,247","70,742",13,285
531,Turner County,Georgia,"9,003","8,986","8,919","8,836","8,909",13,287
532,Twiggs County,Georgia,"8,024","8,013","7,881","7,676","7,691",13,289
533,Union County,Georgia,"24,628","24,802","25,552","26,390","27,124",13,291
534,Upson County,Georgia,"27,700","27,745","27,689","28,093","28,263",13,293
535,Walker County,Georgia,"67,653","67,738","68,417","68,965","69,489",13,295
536,Walton County,Georgia,"96,664","97,158","99,814","103,064","106,702",13,297
537,Ware County,Georgia,"36,247","36,229","35,545","35,597","36,243",13,299
538,Warren County,Georgia,"5,210","5,207","5,208","5,157","5,106",13,301
539,Washington County,Georgia,"19,994","19,952","19,758","19,765","19,820",13,303
540,Wayne County,Georgia,"30,139","30,142","30,220","30,737","31,373",13,305
541,Webster County,Georgia,"2,348","2,351","2,362","2,337","2,337",13,307
542,Wheeler County,Georgia,"7,480","7,449","7,737","7,310","7,081",13,309
543,White County,Georgia,"27,997","28,108","28,389","28,804","29,026",13,311
544,Whitfield County,Georgia,"102,867","102,784","102,712","103,095","103,687",13,313
545,Wilcox County,Georgia,"8,764","8,787","8,737","8,751","8,779",13,315
546,Wilkes County,Georgia,"9,562","9,552","9,489","9,565","9,518",13,317
547,Wilkinson County,Georgia,"8,875","8,833","8,786","8,677","8,725",13,319
548,Worth County,Georgia,"20,774","20,732","20,565","20,431","20,273",13,321
549,Hawaii County,Hawaii,"200,635","200,744","203,875","206,348","207,615",15,1
550,Honolulu County,Hawaii,"1,016,507","1,012,399","1,004,163","994,828","989,408",15,3
551,Kalawao County,Hawaii,80,80,81,81,81,15,5
552,Kauai County,Hawaii,"73,296","73,190","73,829","73,783","73,851",15,7
553,Maui County,Hawaii,"164,756","164,768","164,797","164,359","164,183",15,9
554,Ada County,Idaho,"494,961","498,278","513,025","519,004","524,673",16,1
555,Adams County,Idaho,"4,382","4,428","4,623","4,791","4,903",16,3
556,Bannock County,Idaho,"87,019","87,276","88,515","89,625","90,400",16,5
557,Bear Lake County,Idaho,"6,370","6,367","6,567","6,730","6,766",16,7
558,Benewah County,Idaho,"9,531","9,576","9,895","10,291","10,369",16,9
559,Bingham County,Idaho,"47,983","48,097","48,929","49,973","50,395",16,11
